cycog_iid	cycog_cns_product
CyCOG_60015996	ScaI restriction endonuclease
CyCOG_60015997	hypothetical protein
CyCOG_60015998	hypothetical protein
CyCOG_60015999	hypothetical protein
CyCOG_60016000	hypothetical protein
CyCOG_60016001	hypothetical protein
CyCOG_60016002	hypothetical protein
CyCOG_60016003	hypothetical protein
CyCOG_60016004	hypothetical protein
CyCOG_60016005	hypothetical protein
CyCOG_60016006	CP12 domain-containing protein
CyCOG_60016007	hypothetical protein
CyCOG_60016008	hypothetical protein
CyCOG_60016009	hypothetical protein
CyCOG_60016010	fiber protein
CyCOG_60016011	hypothetical protein
CyCOG_60016012	tail fiber
CyCOG_60016013	hypothetical protein
CyCOG_60016014	hypothetical protein
CyCOG_60016015	hypothetical protein
CyCOG_60016016	hypothetical protein
CyCOG_60016017	hypothetical protein
CyCOG_60016018	hypothetical protein
CyCOG_60016019	Glycosyl transferases group 1
CyCOG_60016020	hypothetical protein
CyCOG_60016021	hypothetical protein
CyCOG_60016022	ATPase domain protein
CyCOG_60016023	hypothetical protein
CyCOG_60016024	hypothetical protein
CyCOG_60016025	hypothetical protein
CyCOG_60016026	hypothetical protein
CyCOG_60016027	hypothetical protein
CyCOG_60016028	Glycosyl transferase family 11
CyCOG_60016029	Glycosyl transferase family 11
CyCOG_60016030	hypothetical protein
CyCOG_60016031	Glycosyl transferase family 11
CyCOG_60016032	hypothetical protein
CyCOG_60016033	Glycosyl transferase family 11
CyCOG_60016034	Glycosyl transferase family 11
CyCOG_60016035	Glycosyl transferase family 11
CyCOG_60016036	Glycosyl transferase family 11
CyCOG_60016037	Lanthionine synthetase C-like protein
CyCOG_60016038	hypothetical protein
CyCOG_60016039	Phosphoglycolate phosphatase, HAD superfamily
CyCOG_60016040	Cell division septal protein FtsQ
CyCOG_60016041	cell division protein FtsQ
CyCOG_60016042	cell division protein FtsQ
CyCOG_60016043	cupin fold metalloprotein, WbuC family
CyCOG_60016044	hypothetical protein
CyCOG_60016045	hypothetical protein
CyCOG_60016046	hypothetical protein
CyCOG_60016047	PP-loop family protein
CyCOG_60016048	hypothetical protein
CyCOG_60016049	tRNA methyl transferase
CyCOG_60016050	UDP-3-O-acyl N-acetylglycosamine deacetylase
CyCOG_60016051	hypothetical protein
CyCOG_60016052	hypothetical protein
CyCOG_60016053	hypothetical protein
CyCOG_60016054	hypothetical protein
CyCOG_60016055	hypothetical protein
CyCOG_60016056	hypothetical protein
CyCOG_60016057	hypothetical protein
CyCOG_60016058	Protein of unknown function (DUF2811)
CyCOG_60016059	hypothetical protein
CyCOG_60016060	hypothetical protein
CyCOG_60016061	hypothetical protein
CyCOG_60016062	hypothetical protein
CyCOG_60016063	hypothetical protein
CyCOG_60016064	hypothetical protein
CyCOG_60016065	hypothetical protein
CyCOG_60016066	hypothetical protein
CyCOG_60016067	hypothetical protein
CyCOG_60016068	hypothetical protein
CyCOG_60016069	hypothetical protein
CyCOG_60016070	hypothetical protein
CyCOG_60016071	hypothetical protein
CyCOG_60016072	hypothetical protein
CyCOG_60016073	hypothetical protein
CyCOG_60016074	hypothetical protein
CyCOG_60016075	hypothetical protein
CyCOG_60016076	hypothetical protein
CyCOG_60016077	hypothetical protein
CyCOG_60016078	hypothetical protein
CyCOG_60016079	hypothetical protein
CyCOG_60016080	hypothetical protein
CyCOG_60016081	hypothetical protein
CyCOG_60016082	hypothetical protein
CyCOG_60016083	hypothetical protein
CyCOG_60016084	hypothetical protein
CyCOG_60016085	hypothetical protein
CyCOG_60016086	hypothetical protein
CyCOG_60016087	RNA polymerase sigma factor, sigma-70 family
CyCOG_60016088	hypothetical protein
CyCOG_60016089	hypothetical protein
CyCOG_60016090	hypothetical protein
CyCOG_60016091	O-methyltransferase
CyCOG_60016092	nif11-like leader peptide domain-containing protein
CyCOG_60016093	nif11-like leader peptide domain
CyCOG_60016094	hypothetical protein
CyCOG_60016095	NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family
CyCOG_60016096	hypothetical protein
CyCOG_60016097	hypothetical protein
CyCOG_60016098	Protein of unknown function (DUF1353)
CyCOG_60016099	cytochrome c-type biogenesis protein
CyCOG_60016100	hypothetical protein
CyCOG_60016101	hypothetical protein
CyCOG_60016102	hypothetical protein
CyCOG_60016103	hypothetical protein
CyCOG_60016104	Aspartate/methionine/tyrosine aminotransferase
CyCOG_60016105	aspartate aminotransferase
CyCOG_60016106	hypothetical protein
CyCOG_60016107	hypothetical protein
CyCOG_60016108	hypothetical protein
CyCOG_60016109	hypothetical protein
CyCOG_60016110	hypothetical protein
CyCOG_60016111	hypothetical protein
CyCOG_60016112	hypothetical protein
CyCOG_60016113	hypothetical protein
CyCOG_60016114	hypothetical protein
CyCOG_60016115	hypothetical protein
CyCOG_60016116	hypothetical protein
CyCOG_60016117	CpeS-like protein
CyCOG_60016118	hypothetical protein
CyCOG_60016119	hypothetical protein
CyCOG_60016120	hypothetical protein
CyCOG_60016121	hypothetical protein
CyCOG_60016122	hypothetical protein
CyCOG_60016123	hypothetical protein
CyCOG_60016124	hypothetical protein
CyCOG_60016125	hypothetical protein
CyCOG_60016126	hypothetical protein
CyCOG_60016127	hypothetical protein
CyCOG_60016128	hypothetical protein
CyCOG_60016129	hypothetical protein
CyCOG_60016130	hypothetical protein
CyCOG_60016131	hypothetical protein
CyCOG_60016132	transcriptional regulator CRP family protein
CyCOG_60016133	hypothetical protein
CyCOG_60016134	hypothetical protein
CyCOG_60016135	hypothetical protein
CyCOG_60016136	hypothetical protein
CyCOG_60016137	hypothetical protein
CyCOG_60016138	Rhomboid family protein
CyCOG_60016139	hypothetical protein
CyCOG_60016140	hypothetical protein
CyCOG_60016141	hypothetical protein
CyCOG_60016142	hypothetical protein
CyCOG_60016143	hypothetical protein
CyCOG_60016144	hypothetical protein
CyCOG_60016145	hypothetical protein
CyCOG_60016146	hypothetical protein
CyCOG_60016147	hypothetical protein
CyCOG_60016148	hypothetical protein
CyCOG_60016149	hypothetical protein
CyCOG_60016150	hypothetical protein
CyCOG_60016151	hypothetical protein
CyCOG_60016152	hypothetical protein
CyCOG_60016153	hypothetical protein
CyCOG_60016154	hypothetical protein
CyCOG_60016155	hypothetical protein
CyCOG_60016156	hypothetical protein
CyCOG_60016157	hypothetical protein
CyCOG_60016158	hypothetical protein
CyCOG_60016159	hypothetical protein
CyCOG_60016160	4-hydroxythreonine-4-phosphate dehydrogenase
CyCOG_60016161	virion structural protein
CyCOG_60016162	hypothetical protein
CyCOG_60016163	hypothetical protein
CyCOG_60016164	hypothetical protein
CyCOG_60016165	hypothetical protein
CyCOG_60016166	hypothetical protein
CyCOG_60016167	hypothetical protein
CyCOG_60016168	hypothetical protein
CyCOG_60016169	hypothetical protein
CyCOG_60016170	hypothetical protein
CyCOG_60016171	hypothetical protein
CyCOG_60016172	hypothetical protein
CyCOG_60016173	hypothetical protein
CyCOG_60016174	hypothetical protein
CyCOG_60016175	hypothetical protein
CyCOG_60016176	hypothetical protein
CyCOG_60016177	hypothetical protein
CyCOG_60016178	hypothetical protein
CyCOG_60016179	hypothetical protein
CyCOG_60016180	hypothetical protein
CyCOG_60016181	hypothetical protein
CyCOG_60016182	hypothetical protein
CyCOG_60016183	hypothetical protein
CyCOG_60016184	hypothetical protein
CyCOG_60016185	hypothetical protein
CyCOG_60016186	hypothetical protein
CyCOG_60016187	hypothetical protein
CyCOG_60016188	hypothetical protein
CyCOG_60016189	hypothetical protein
CyCOG_60016190	hypothetical protein
CyCOG_60016191	LPS export ABC transporter protein LptC
CyCOG_60016192	hypothetical protein
CyCOG_60016193	hypothetical protein
CyCOG_60016194	hypothetical protein
CyCOG_60016195	hypothetical protein
CyCOG_60016196	hypothetical protein
CyCOG_60016197	hypothetical protein
CyCOG_60016198	hypothetical protein
CyCOG_60016199	DnaJ domain
CyCOG_60016200	curved DNA-binding protein
CyCOG_60016201	hypothetical protein
CyCOG_60016202	hypothetical protein
CyCOG_60016203	hypothetical protein
CyCOG_60016204	hypothetical protein
CyCOG_60016205	hypothetical protein
CyCOG_60016206	hypothetical protein
CyCOG_60016207	hypothetical protein
CyCOG_60016208	hypothetical protein
CyCOG_60016209	hypothetical protein
CyCOG_60016210	hypothetical protein
CyCOG_60016211	hypothetical protein
CyCOG_60016212	hypothetical protein
CyCOG_60016213	hypothetical protein
CyCOG_60016214	hypothetical protein
CyCOG_60016215	hypothetical protein
CyCOG_60016216	hypothetical protein
CyCOG_60016217	hypothetical protein
CyCOG_60016218	hypothetical protein
CyCOG_60016219	Chlorophyll A-B binding protein
CyCOG_60016220	hypothetical protein
CyCOG_60016221	hypothetical protein
CyCOG_60016222	stearoyl-CoA desaturase (delta-9 desaturase)
CyCOG_60016223	hypothetical protein
CyCOG_60016224	hypothetical protein
CyCOG_60016225	hypothetical protein
CyCOG_60016226	hypothetical protein
CyCOG_60016227	hypothetical protein
CyCOG_60016228	hypothetical protein
CyCOG_60016229	hypothetical protein
CyCOG_60016230	hypothetical protein
CyCOG_60016231	hypothetical protein
CyCOG_60016232	hypothetical protein
CyCOG_60016233	hypothetical protein
CyCOG_60016234	hypothetical protein
CyCOG_60016235	hypothetical protein
CyCOG_60016236	hypothetical protein
CyCOG_60016237	hypothetical protein
CyCOG_60016238	hypothetical protein
CyCOG_60016239	hypothetical protein
CyCOG_60016240	hypothetical protein
CyCOG_60016241	hypothetical protein
CyCOG_60016242	hypothetical protein
CyCOG_60016243	hypothetical protein
CyCOG_60016244	hypothetical protein
CyCOG_60016245	hypothetical protein
CyCOG_60016246	hypothetical protein
CyCOG_60016247	hypothetical protein
CyCOG_60016248	hypothetical protein
CyCOG_60016249	hypothetical protein
CyCOG_60016250	small GTP-binding protein domain-containing protein
CyCOG_60016251	hypothetical protein
CyCOG_60016252	hypothetical protein
CyCOG_60016253	hypothetical protein
CyCOG_60016254	hypothetical protein
CyCOG_60016255	hypothetical protein
CyCOG_60016256	hypothetical protein
CyCOG_60016257	hypothetical protein
CyCOG_60016258	hypothetical protein
CyCOG_60016259	hypothetical protein
CyCOG_60016260	hypothetical protein
CyCOG_60016261	hypothetical protein
CyCOG_60016262	hypothetical protein
CyCOG_60016263	hypothetical protein
CyCOG_60016264	hypothetical protein
CyCOG_60016265	hypothetical protein
CyCOG_60016266	hypothetical protein
CyCOG_60016267	hypothetical protein
CyCOG_60016268	hypothetical protein
CyCOG_60016269	hypothetical protein
CyCOG_60016270	hypothetical protein
CyCOG_60016271	hypothetical protein
CyCOG_60016272	hypothetical protein
CyCOG_60016273	hypothetical protein
CyCOG_60016274	hypothetical protein
CyCOG_60016275	hypothetical protein
CyCOG_60016276	hypothetical protein
CyCOG_60016277	hypothetical protein
CyCOG_60016278	hypothetical protein
CyCOG_60016279	hypothetical protein
CyCOG_60016280	hypothetical protein
CyCOG_60016281	hypothetical protein
CyCOG_60016282	hypothetical protein
CyCOG_60016283	hypothetical protein
CyCOG_60016284	Methyltransferase domain-containing protein
CyCOG_60016285	hypothetical protein
CyCOG_60016286	hypothetical protein
CyCOG_60016287	hypothetical protein
CyCOG_60016288	hypothetical protein
CyCOG_60016289	hypothetical protein
CyCOG_60016290	hypothetical protein
CyCOG_60016291	hypothetical protein
CyCOG_60016292	hypothetical protein
CyCOG_60016293	hypothetical protein
CyCOG_60016294	tellurite resistance protein TerC
CyCOG_60016295	Restriction endonuclease S subunit
CyCOG_60016296	hypothetical protein
CyCOG_60016297	hypothetical protein
CyCOG_60016298	hypothetical protein
CyCOG_60016299	hypothetical protein
CyCOG_60016300	hypothetical protein
CyCOG_60016301	hypothetical protein
CyCOG_60016302	hypothetical protein
CyCOG_60016303	hypothetical protein
CyCOG_60016304	hypothetical protein
CyCOG_60016305	hypothetical protein
CyCOG_60016306	hypothetical protein
CyCOG_60016307	hypothetical protein
CyCOG_60016308	hypothetical protein
CyCOG_60016309	hypothetical protein
CyCOG_60016310	hypothetical protein
CyCOG_60016311	hypothetical protein
CyCOG_60016312	hypothetical protein
CyCOG_60016313	hypothetical protein
CyCOG_60016314	hypothetical protein
CyCOG_60016315	hypothetical protein
CyCOG_60016316	hypothetical protein
CyCOG_60016317	dolichol-phosphate mannosyltransferase
CyCOG_60016318	hypothetical protein
CyCOG_60016319	Glycosyl transferase family 2
CyCOG_60016320	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60016321	Glycosyl transferase family 2
CyCOG_60016322	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60016323	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60016324	Glycosyl transferase family 2
CyCOG_60016325	hypothetical protein
CyCOG_60016326	hypothetical protein
CyCOG_60016327	hypothetical protein
CyCOG_60016328	hypothetical protein
CyCOG_60016329	possible adhesin/hemolysin
CyCOG_60016330	hypothetical protein
CyCOG_60016331	hypothetical protein
CyCOG_60016332	hypothetical protein
CyCOG_60016333	hypothetical protein
CyCOG_60016334	hypothetical protein
CyCOG_60016335	hypothetical protein
CyCOG_60016336	hypothetical protein
CyCOG_60016337	hypothetical protein
CyCOG_60016338	hypothetical protein
CyCOG_60016339	hypothetical protein
CyCOG_60016340	hypothetical protein
CyCOG_60016341	hypothetical protein
CyCOG_60016342	hypothetical protein
CyCOG_60016343	hypothetical protein
CyCOG_60016344	hypothetical protein
CyCOG_60016345	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60016346	Glycosyl transferases group 1
CyCOG_60016347	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60016348	hypothetical protein
CyCOG_60016349	hypothetical protein
CyCOG_60016350	hypothetical protein
CyCOG_60016351	queuosine biosynthesis protein
CyCOG_60016352	hypothetical protein
CyCOG_60016353	hypothetical protein
CyCOG_60016354	hypothetical protein
CyCOG_60016355	hypothetical protein
CyCOG_60016356	transporter, putative
CyCOG_60016357	hypothetical protein
CyCOG_60016358	K+-dependent Na+/Ca+ exchanger related-protein
CyCOG_60016359	hypothetical protein
CyCOG_60016360	hypothetical protein
CyCOG_60016361	Glutaredoxin-related protein
CyCOG_60016362	hypothetical protein
CyCOG_60016363	hypothetical protein
CyCOG_60016364	hypothetical protein
CyCOG_60016365	Sulfotransferase family protein
CyCOG_60016366	hypothetical protein
CyCOG_60016367	hypothetical protein
CyCOG_60016368	hypothetical protein
CyCOG_60016369	hypothetical protein
CyCOG_60016370	Sulfotransferase domain-containing protein
CyCOG_60016371	hypothetical protein
CyCOG_60016372	hypothetical protein
CyCOG_60016373	hypothetical protein
CyCOG_60016374	hypothetical protein
CyCOG_60016375	hypothetical protein
CyCOG_60016376	ADP-ribose pyrophosphatase YjhB, NUDIX family
CyCOG_60016377	Protein of unknown function (DUF565)
CyCOG_60016378	hypothetical protein
CyCOG_60016379	hypothetical protein
CyCOG_60016380	hypothetical protein
CyCOG_60016381	hypothetical protein
CyCOG_60016382	hypothetical protein
CyCOG_60016383	hypothetical protein
CyCOG_60016384	hypothetical protein
CyCOG_60016385	hypothetical protein
CyCOG_60016386	hypothetical protein
CyCOG_60016387	hypothetical protein
CyCOG_60016388	hypothetical protein
CyCOG_60016389	hypothetical protein
CyCOG_60016390	hypothetical protein
CyCOG_60016391	hypothetical protein
CyCOG_60016392	hypothetical protein
CyCOG_60016393	hypothetical protein
CyCOG_60016394	hypothetical protein
CyCOG_60016395	hypothetical protein
CyCOG_60016396	hypothetical protein
CyCOG_60016397	hypothetical protein
CyCOG_60016398	hypothetical protein
CyCOG_60016399	hypothetical protein
CyCOG_60016400	hypothetical protein
CyCOG_60016401	hypothetical protein
CyCOG_60016402	hypothetical protein
CyCOG_60016403	hypothetical protein
CyCOG_60016404	hypothetical protein
CyCOG_60016405	hypothetical protein
CyCOG_60016406	hypothetical protein
CyCOG_60016407	hypothetical protein
CyCOG_60016408	hypothetical protein
CyCOG_60016409	hypothetical protein
CyCOG_60016410	hypothetical protein
CyCOG_60016411	DNA adenine methylase
CyCOG_60016412	hypothetical protein
CyCOG_60016413	hypothetical protein
CyCOG_60016414	hypothetical protein
CyCOG_60016415	hypothetical protein
CyCOG_60016416	hypothetical protein
CyCOG_60016417	hypothetical protein
CyCOG_60016418	hypothetical protein
CyCOG_60016419	hypothetical protein
CyCOG_60016420	hypothetical protein
CyCOG_60016421	hypothetical protein
CyCOG_60016422	hypothetical protein
CyCOG_60016423	hypothetical protein
CyCOG_60016424	hypothetical protein
CyCOG_60016425	hypothetical protein
CyCOG_60016426	hypothetical protein
CyCOG_60016427	hypothetical protein
CyCOG_60016428	hypothetical protein
CyCOG_60016429	hypothetical protein
CyCOG_60016430	hypothetical protein
CyCOG_60016431	hypothetical protein
CyCOG_60016432	DNA methylase
CyCOG_60016433	hypothetical protein
CyCOG_60016434	type II restriction enzyme
CyCOG_60016435	hypothetical protein
CyCOG_60016436	hypothetical protein
CyCOG_60016437	hypothetical protein
CyCOG_60016438	hypothetical protein
CyCOG_60016439	asparagine synthase (glutamine-hydrolysing)
CyCOG_60016440	hypothetical protein
CyCOG_60016441	hypothetical protein
CyCOG_60016442	Asparagine synthase
CyCOG_60016443	asparagine synthase (glutamine-hydrolysing)
CyCOG_60016444	hypothetical protein
CyCOG_60016445	hypothetical protein
CyCOG_60016446	hypothetical protein
CyCOG_60016447	hypothetical protein
CyCOG_60016448	hypothetical protein
CyCOG_60016449	hypothetical protein
CyCOG_60016450	hypothetical protein
CyCOG_60016451	Cephalosporin hydroxylase
CyCOG_60016452	hypothetical protein
CyCOG_60016453	Cephalosporin hydroxylase
CyCOG_60016454	hypothetical protein
CyCOG_60016455	Glycosyl transferase family 2
CyCOG_60016456	hypothetical protein
CyCOG_60016457	hypothetical protein
CyCOG_60016458	hypothetical protein
CyCOG_60016459	hypothetical protein
CyCOG_60016460	hypothetical protein
CyCOG_60016461	hypothetical protein
CyCOG_60016462	hypothetical protein
CyCOG_60016463	hypothetical protein
CyCOG_60016464	hypothetical protein
CyCOG_60016465	hypothetical protein
CyCOG_60016466	hypothetical protein
CyCOG_60016467	hypothetical protein
CyCOG_60016468	release factor glutamine methyltransferase
CyCOG_60016469	hypothetical protein
CyCOG_60016470	hypothetical protein
CyCOG_60016471	hypothetical protein
CyCOG_60016472	hypothetical protein
CyCOG_60016473	hypothetical protein
CyCOG_60016474	hypothetical protein
CyCOG_60016475	hypothetical protein
CyCOG_60016476	hypothetical protein
CyCOG_60016477	TupA-like ATPgrasp
CyCOG_60016478	hypothetical protein
CyCOG_60016479	hypothetical protein
CyCOG_60016480	hypothetical protein
CyCOG_60016481	hypothetical protein
CyCOG_60016482	hypothetical protein
CyCOG_60016483	hypothetical protein
CyCOG_60016484	Ubiquinone biosynthesis protein Coq4
CyCOG_60016485	Phosphoglycolate phosphatase, HAD superfamily
CyCOG_60016486	pyruvate dehydrogenase E1 component alpha subunit
CyCOG_60016487	pyruvate dehydrogenase E1 component alpha subunit
CyCOG_60016488	hypothetical protein
CyCOG_60016489	hypothetical protein
CyCOG_60016490	hypothetical protein
CyCOG_60016491	hypothetical protein
CyCOG_60016492	hypothetical protein
CyCOG_60016493	hypothetical protein
CyCOG_60016494	hypothetical protein
CyCOG_60016495	hypothetical protein
CyCOG_60016496	hypothetical protein
CyCOG_60016497	hypothetical protein
CyCOG_60016498	small conductance mechanosensitive channel
CyCOG_60016499	hypothetical protein
CyCOG_60016500	hypothetical protein
CyCOG_60016501	hypothetical protein
CyCOG_60016502	hypothetical protein
CyCOG_60016503	hypothetical protein
CyCOG_60016504	hypothetical protein
CyCOG_60016505	hypothetical protein
CyCOG_60016506	hypothetical protein
CyCOG_60016507	hypothetical protein
CyCOG_60016508	hypothetical protein
CyCOG_60016509	hypothetical protein
CyCOG_60016510	hypothetical protein
CyCOG_60016511	hypothetical protein
CyCOG_60016512	Helix-turn-helix domain-containing protein
CyCOG_60016513	Helix-turn-helix domain-containing protein
CyCOG_60016514	Helix-turn-helix domain
CyCOG_60016515	Helix-turn-helix domain-containing protein
CyCOG_60016516	thioredoxin
CyCOG_60016517	hypothetical protein
CyCOG_60016518	Thioredoxin
CyCOG_60016519	thioredoxin
CyCOG_60016520	phosphate transport system substrate-binding protein
CyCOG_60016521	phosphate transport system substrate-binding protein
CyCOG_60016522	phosphate ABC transporter, phosphate-binding protein
CyCOG_60016523	phosphate ABC transporter substrate-binding protein, PhoT family (TC 3.A.1.7.1)
CyCOG_60016524	hypothetical protein
CyCOG_60016525	hypothetical protein
CyCOG_60016526	Sulfotransferase family protein
CyCOG_60016527	hypothetical protein
CyCOG_60016528	hypothetical protein
CyCOG_60016529	Predicted amidohydrolase
CyCOG_60016530	hypothetical protein
CyCOG_60016531	hypothetical protein
CyCOG_60016532	Uncharacterized conserved membrane protein, UPF0127 family
CyCOG_60016533	hypothetical protein
CyCOG_60016534	hypothetical protein
CyCOG_60016535	hypothetical protein
CyCOG_60016536	hypothetical protein
CyCOG_60016537	hypothetical protein
CyCOG_60016538	hypothetical protein
CyCOG_60016539	hypothetical protein
CyCOG_60016540	hypothetical protein
CyCOG_60016541	hypothetical protein
CyCOG_60016542	hypothetical protein
CyCOG_60016543	Glycosyltransferase family 25 (LPS biosynthesis protein)
CyCOG_60016544	hypothetical protein
CyCOG_60016545	hypothetical protein
CyCOG_60016546	hypothetical protein
CyCOG_60016547	hypothetical protein
CyCOG_60016548	hypothetical protein
CyCOG_60016549	hypothetical protein
CyCOG_60016550	hypothetical protein
CyCOG_60016551	hypothetical protein
CyCOG_60016552	N-acetylneuraminate synthase
CyCOG_60016553	Hemolysin-type calcium-binding repeat (2 copies)
CyCOG_60016554	hypothetical protein
CyCOG_60016555	hypothetical protein
CyCOG_60016556	hypothetical protein
CyCOG_60016557	DNA-binding transcriptional regulator, XRE family
CyCOG_60016558	hypothetical protein
CyCOG_60016559	hypothetical protein
CyCOG_60016560	hypothetical protein
CyCOG_60016561	hypothetical protein
CyCOG_60016562	hypothetical protein
CyCOG_60016563	pimeloyl-[acyl-carrier protein] methyl ester esterase
CyCOG_60016564	putative transposase
CyCOG_60016565	Hemolysin activation/secretion protein
CyCOG_60016566	Hemolysin activation/secretion protein
CyCOG_60016567	hypothetical protein
CyCOG_60016568	Putative neutral zinc metallopeptidase
CyCOG_60016569	hypothetical protein
CyCOG_60016570	hypothetical protein
CyCOG_60016571	hypothetical protein
CyCOG_60016572	hypothetical protein
CyCOG_60016573	hypothetical protein
CyCOG_60016574	hypothetical protein
CyCOG_60016575	hypothetical protein
CyCOG_60016576	hypothetical protein
CyCOG_60016577	hypothetical protein
CyCOG_60016578	hypothetical protein
CyCOG_60016579	hypothetical protein
CyCOG_60016580	hypothetical protein
CyCOG_60016581	hypothetical protein
CyCOG_60016582	hypothetical protein
CyCOG_60016583	hypothetical protein
CyCOG_60016584	hypothetical protein
CyCOG_60016585	hypothetical protein
CyCOG_60016586	Tfp pilus assembly protein PilF
CyCOG_60016587	hypothetical protein
CyCOG_60016588	Tfp pilus assembly protein PilF
CyCOG_60016589	hypothetical protein
CyCOG_60016590	hypothetical protein
CyCOG_60016591	Tetratricopeptide repeat
CyCOG_60016592	hypothetical protein
CyCOG_60016593	Predicted dehydrogenase
CyCOG_60016594	hypothetical protein
CyCOG_60016595	hypothetical protein
CyCOG_60016596	hypothetical protein
CyCOG_60016597	hypothetical protein
CyCOG_60016598	Iron-sulfur cluster-binding domain-containing protein
CyCOG_60016599	hypothetical protein
CyCOG_60016600	hypothetical protein
CyCOG_60016601	hypothetical protein
CyCOG_60016602	hypothetical protein
CyCOG_60016603	hypothetical protein
CyCOG_60016604	Metallo-peptidase family M12B Reprolysin-like
CyCOG_60016605	hypothetical protein
CyCOG_60016606	hypothetical protein
CyCOG_60016607	hypothetical protein
CyCOG_60016608	hypothetical protein
CyCOG_60016609	hypothetical protein
CyCOG_60016610	hypothetical protein
CyCOG_60016611	hypothetical protein
CyCOG_60016612	hypothetical protein
CyCOG_60016613	hypothetical protein
CyCOG_60016614	Lysylphosphatidylglycerol synthase TM region
CyCOG_60016615	hypothetical protein
CyCOG_60016616	hypothetical protein
CyCOG_60016617	hypothetical protein
CyCOG_60016618	hypothetical protein
CyCOG_60016619	hypothetical protein
CyCOG_60016620	hypothetical protein
CyCOG_60016621	hypothetical protein
CyCOG_60016622	hypothetical protein
CyCOG_60016623	riboflavin synthase alpha chain
CyCOG_60016624	hypothetical protein
CyCOG_60016625	hypothetical protein
CyCOG_60016626	hypothetical protein
CyCOG_60016627	hypothetical protein
CyCOG_60016628	hypothetical protein
CyCOG_60016629	hypothetical protein
CyCOG_60016630	hypothetical protein
CyCOG_60016631	hypothetical protein
CyCOG_60016632	hypothetical protein
CyCOG_60016633	hypothetical protein
CyCOG_60016634	hypothetical protein
CyCOG_60016635	hypothetical protein
CyCOG_60016636	hypothetical protein
CyCOG_60016637	hypothetical protein
CyCOG_60016638	hypothetical protein
CyCOG_60016639	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60016640	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60016641	Predicted kinase
CyCOG_60016642	Phage-related protein
CyCOG_60016643	hypothetical protein
CyCOG_60016644	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60016645	hypothetical protein
CyCOG_60016646	hypothetical protein
CyCOG_60016647	hypothetical protein
CyCOG_60016648	hypothetical protein
CyCOG_60016649	hypothetical protein
CyCOG_60016650	hypothetical protein
CyCOG_60016651	hypothetical protein
CyCOG_60016652	DNA-binding transcriptional regulator, LysR family
CyCOG_60016653	hypothetical protein
CyCOG_60016654	signal transduction histidine kinase (EC 2.7.13.3)
CyCOG_60016655	regulatory helix-turn-helix protein, lysR family
CyCOG_60016656	hypothetical protein
CyCOG_60016657	hypothetical protein
CyCOG_60016658	hypothetical protein
CyCOG_60016659	hypothetical protein
CyCOG_60016660	hypothetical protein
CyCOG_60016661	hypothetical protein
CyCOG_60016662	hypothetical protein
CyCOG_60016663	hypothetical protein
CyCOG_60016664	surface carbohydrate biosynthesis protein
CyCOG_60016665	surface carbohydrate biosynthesis protein
CyCOG_60016666	DprA superfamily protein
CyCOG_60016667	hypothetical protein
CyCOG_60016668	hypothetical protein
CyCOG_60016669	hypothetical protein
CyCOG_60016670	Short-chain dehydrogenase
CyCOG_60016671	hypothetical protein
CyCOG_60016672	hypothetical protein
CyCOG_60016673	Heparinase II/III N-terminus
CyCOG_60016674	Heparinase II/III N-terminus
CyCOG_60016675	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
CyCOG_60016676	hypothetical protein
CyCOG_60016677	Ycf66 protein N-terminus
CyCOG_60016678	hypothetical protein
CyCOG_60016679	hypothetical protein
CyCOG_60016680	hypothetical protein
CyCOG_60016681	Ycf66 protein N-terminus
CyCOG_60016682	hypothetical protein
CyCOG_60016683	Ycf66 protein N-terminus
CyCOG_60016684	UDP-glucose 4-epimerase
CyCOG_60016685	Transglycosylase SLT domain-containing protein
CyCOG_60016686	hypothetical protein
CyCOG_60016687	hypothetical protein
CyCOG_60016688	Aminoglycoside N3'-acetyltransferase
CyCOG_60016689	hypothetical protein
CyCOG_60016690	hypothetical protein
CyCOG_60016691	hypothetical protein
CyCOG_60016692	hypothetical protein
CyCOG_60016693	hypothetical protein
CyCOG_60016694	hypothetical protein
CyCOG_60016695	hypothetical protein
CyCOG_60016696	hypothetical protein
CyCOG_60016697	hypothetical protein
CyCOG_60016698	hypothetical protein
CyCOG_60016699	hypothetical protein
CyCOG_60016700	hypothetical protein
CyCOG_60016701	hypothetical protein
CyCOG_60016702	hypothetical protein
CyCOG_60016703	hypothetical protein
CyCOG_60016704	hypothetical protein
CyCOG_60016705	hypothetical protein
CyCOG_60016706	hypothetical protein
CyCOG_60016707	hypothetical protein
CyCOG_60016708	hypothetical protein
CyCOG_60016709	hypothetical protein
CyCOG_60016710	hypothetical protein
CyCOG_60016711	hypothetical protein
